direction,score,setup,reclaim,bars_since_flip,flip_time,event_time,entry_price,flip_level,protect_level,forecast_direction,forecast_score,atr_pct,stoch_d,recent_vix_spike,wait,flip_pos,event_pos,favorable_move_pct,adverse_move_pct,end_move_pct,bars_to_peak,favorable_move_atr,favorable_move_risk,stop_risk_pct,symbol,major_move_cutoff_pct,major_move,stoch_k
SELL,74.0,EARLY_FLIP,False,0,2026-05-04 23:00:00,2026-05-04 23:00:00,624.02001953125,623.8800048828125,628.3099975585938,SELL,92.0,0.31283216843016465,,False,0,5728,5728,0.24358505876010275,0.7595894500204617,-0.7147143998441307,31,0.7786445364057235,0.35431872181199936,0.6874744227863533,BNB-USD,3.0,False,64.95680292594791
SELL,83.0,EARLY_FLIP,False,0,2026-04-27 05:00:00,2026-04-27 05:00:00,4678.27001953125,4672.3798828125,4704.2001953125,SELL,92.0,0.09461711057572159,,True,0,4408,4408,0.2434689889894654,0.8537331372388778,-0.06263374642799253,8,2.5732025371311504,0.43926183975143585,0.5542684725976577,PAXG-USD,3.0,False,7.193933571800685
SELL,70.0,EARLY_FLIP,False,0,2026-03-08 07:45:00,2026-03-08 07:45:00,0.2866728007793426,0.2866537272930145,0.2867607474327087,SELL,92.0,,,False,0,3,3,0.24122731099849543,0.9008702750338765,-0.6287670325724445,46,,7.863097255167739,0.030678408669046718,TRX-USD,3.0,False,
SELL,95.0,EARLY_FLIP,False,0,2026-03-28 06:00:00,2026-03-28 06:00:00,82.59223937988281,82.529296875,82.74775695800781,SELL,92.0,0.1821731987783904,,False,0,2108,2108,0.2409581794147723,1.3467331391627015,-0.8760125370305195,24,1.3226873164141588,1.279680141287284,0.1882956307912869,SOL-USD,3.0,False,75.1945873517006
SELL,80.0,EARLY_FLIP,False,0,2026-04-09 20:45:00,2026-04-09 20:45:00,53.881492614746094,53.881492614746094,53.97379684448242,SELL,84.46039222441773,0.10036059400258736,,False,0,1879,1879,0.2407270662548116,2.346547291944401,-1.4275620526014339,3,2.3986213777152963,1.4052155225854444,0.17130971184541136,LTC-USD,3.0,False,68.17646543554166
SELL,69.0,EARLY_FLIP,False,0,2026-04-03 20:15:00,2026-04-03 20:15:00,66666.640625,66613.8359375,67099.0546875,SELL,92.0,0.17944008125449604,,False,0,2741,2741,0.23936728100284413,0.5635431888840582,-0.26326182158664907,2,1.3339677475031602,0.3690400910585556,0.6486213471177138,BTC-USD,3.0,False,23.835549232095413
SELL,84.0,EARLY_FLIP,False,0,2026-05-04 20:45:00,2026-05-04 20:45:00,83.98999786376953,83.9000015258789,84.31999969482422,SELL,88.19041254841574,0.32316539646127046,,False,0,5719,5719,0.23811995872006025,1.5835240682014657,-1.107275067067185,1,0.736836187684462,0.6060479955611041,0.3929061072128438,SOL-USD,3.0,False,90.93308005453544
SELL,74.0,EARLY_FLIP,False,0,2026-03-15 22:45:00,2026-03-15 22:45:00,660.0452880859375,660.0452880859375,660.7042236328125,SELL,90.39892921722335,0.15286077908752468,,False,0,927,927,0.2381040008388984,3.841834731466513,-2.7910571506934136,13,1.557652671013572,2.38505001852538,0.09983186892915247,BNB-USD,3.0,False,90.60929387634444
SELL,77.0,POST_FLIP_BREAKDOWN,True,1,2026-04-05 01:30:00,2026-04-05 01:45:00,4650.9541015625,4651.0078125,4656.21728515625,SELL,92.0,0.0218009223637899,,True,1,2282,2283,0.2374029858204917,0.00038844516319631157,0.20870003781566157,62,10.889584479911944,2.097875498654792,0.11316352470521736,PAXG-USD,3.0,False,1.2333806695319003
SELL,74.0,EARLY_FLIP,False,0,2026-03-13 16:15:00,2026-03-13 16:15:00,0.2892694771289825,0.2892614305019378,0.2897207736968994,SELL,90.57726607437363,0.05516388363336793,,False,0,517,517,0.2371868172263251,1.6367559412351362,-1.4011969372796338,14,4.299675831432104,1.5203064122033483,0.1560125086117181,TRX-USD,3.0,False,80.06897146281085
SELL,83.10525379741341,EARLY_FLIP,False,0,2026-05-17 10:15:00,2026-05-17 10:15:00,0.253600001335144,0.2535000145435333,0.2540999948978424,SELL,75.52626898706708,0.304191188276601,,False,0,6919,6919,0.23659706367212255,1.774448598280231,-0.27602403176532697,60,0.7777906553196566,1.2000357632470586,0.19715834387463407,ADA-USD,3.0,False,64.62006378678795
SELL,93.0,POST_FLIP_BREAKDOWN,True,2,2026-05-03 12:15:00,2026-05-03 12:45:00,54.970001220703125,54.97999954223633,55.08000183105469,SELL,92.0,0.16632630911159738,,False,2,4149,4151,0.2364945701807127,1.2734162865154723,-0.8550070867177625,21,1.4218710884880854,1.1818213344430575,0.20011025633765753,LTC-USD,3.0,False,90.9293487862584
